smiles,PUBCHEM_ACTIVITY_OUTCOME,broad_id
CC(C)NC[C@@H](O)c1ccc(O)c(O)c1 |&1:5|,0.9832760095596312,BRD-A04322457-003-18-7
C(N1CCN(CC1)c1ncccn1)c1ccc2OCOc2c1,0.9830121397972108,BRD-K47936004-003-11-4
CNC[C@H](O)c1ccc(O)c(O)c1,0.9823090434074402,BRD-K63126190-001-04-4
Clc1ccc2c(ccnc2c1)N1CCN(CCCN2CCN(CC2)c2ccnc3cc(Cl)ccc23)CC1,0.9822036027908324,BRD-K27382019-418-01-9
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,0.9818828105926514,BRD-K97440753-066-19-9
"CC[C@@H](NC(C)C)[C@@H](O)c1ccc(O)c(O)c1 |&1:2,&2:7|",0.9811237454414368,BRD-A24587114-066-21-7
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,0.9806002974510192,BRD-K48195008-001-19-9
CCCN(C\C=C\I)[C@H]1CCc2ccc(O)cc2C1 |&1:8|,0.9797570109367372,BRD-K01825667-050-01-9
C[C@@H](N)[C@@H](O)c1ccccc1,0.9794327020645142,BRD-K27853494-003-04-7
"C[C@@H](N)Cc1cccc(O)c1 |&1:1,r|",0.9792245030403136,BRD-A04447196-001-01-8
C[C@@H](CN1CCC(Cc2ccccc2)CC1)[C@@H](O)c1ccc(O)cc1,0.9791182279586792,BRD-K51541829-050-02-8
Clc1ccc(cc1)N1CCN(Cc2c[nH]c3ncccc23)CC1,0.978733777999878,BRD-K05528470-305-03-0
CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,0.9780926704406738,BRD-A78322124-003-16-5
"[H][C@]12CN(C)C[C@]1([H])c1cc(Cl)ccc1Oc1ccccc21 |&1:1,6|",0.9780666828155518,BRD-K00003551-050-01-9
Oc1ccc(C(=O)c2cc(O)c(O)c(O)c2)c(O)c1O,0.977164089679718,BRD-K65716359-001-04-7
COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1,0.9763984084129332,BRD-K69812556-050-11-9
CN1CCC(CC1)c1c[nH]c2ccc(O)cc12,0.9762904644012452,BRD-K17868609-001-04-3
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1,0.9759690165519714,BRD-K17378184-001-06-9
"C[C@@H]([C@H](O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1 |&1:1,2|",0.9757130146026612,BRD-K00004210-045-01-9
CCN(CCCc1ccccc1)CCCc1ccccc1,0.974205732345581,BRD-K89055274-048-23-5
CN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,0.9737465977668762,BRD-K72166146-066-06-2
COc1ccc2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@@H]3CCc2c1,0.971314251422882,BRD-K31920458-001-24-9
O=c1ccc2ccc(OCCCCN3CCN(CC3)c3cccc4sccc34)cc2[nH]1,0.9708855152130128,BRD-K00911143-001-01-9
C[C@@H]1[C@@H]2Cc3ccc(O)cc3[C@@]1(C)CCN2CC=C,0.970863938331604,BRD-K00004226-003-01-9
"N[C@H]1C[C@@H]1c1ccccc1 |&1:1,3|",0.9707913398742676,BRD-K00003699-065-01-9
COc1ccccc1O,0.9694389700889589,BRD-K96282009-001-08-8
COc1ccc2cccc(N3CCN(CCNC(=O)c4ccc(F)cc4)CC3)c2c1,0.9694275856018066,BRD-K46766488-003-03-8
"O[C@@H](C1CCN(CCc2ccccc2)CC1)c1ccccc1 |&1:1,r|",0.9688981771469116,BRD-A62057054-001-04-9
