PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Activation at 7.6 uM,Standard Deviation,Activation at 7.6 uM [1],Activation at 7.6 uM [2],Activation at 7.6 uM [3]
RESULT_TYPE,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent activation of the confirmation screen at a compound concentration of 7.6 uM.,Standard deviation derived from the normalized percent activation of the triplicate data for each compound,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [1].,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [2].,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [3].
RESULT_UNIT,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
172,56463237,160436,Active,36,,,65.18,3.40213,68.5684,60.5295,66.4509
173,17507180,135443092,Active,36,,,64.62,6.14805,56.1074,70.416,67.3288
174,49816756,2981176,Active,35,,,64.42,9.79143,72.6999,50.6676,69.8909
175,24799924,16191594,Active,35,,,64,12.7102,51.5118,59.048,81.4404
176,49670814,17387246,Active,35,,,63.84,3.99501,65.2971,67.8395,58.3846
177,56463017,11957669,Active,35,,,63.76,7.93082,56.0694,74.6746,60.5321
178,7977076,743199,Active,35,,,63.51,3.4671,67.4227,64.1039,58.9933
179,14734638,9550614,Active,35,,,63.15,6.47873,71.9657,60.9143,56.5768
180,56422131,5284557,Active,34,,,62.48,3.96037,65.7889,56.912,64.7389
181,121285057,51360417,Active,34,,,61.93,9.20908,60.4982,73.8582,51.4377
182,26660770,135505970,Active,34,,,61.85,5.38187,58.553,57.5487,69.4343
183,47198013,792283,Active,34,,,61.77,4.66951,59.9534,57.1776,68.1749
184,26732242,16746406,Active,34,,,61.5,2.68876,65.1936,60.4117,58.8806
185,22415633,2897124,Active,33,,,60.86,5.18871,67.1992,54.4896,60.8912
186,24788419,16189323,Active,33,,,60.62,2.00571,63.4457,59.0203,59.385
187,850988,653541,Active,33,,,60.5,3.54103,63.8458,62.0479,55.5983
188,7967698,5308983,Active,33,,,60.34,4.12189,55.3568,60.2243,65.4512
