PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Activation at 7.6 uM,Standard Deviation,Activation at 7.6 uM [1],Activation at 7.6 uM [2],Activation at 7.6 uM [3]
RESULT_TYPE,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent activation of the confirmation screen at a compound concentration of 7.6 uM.,Standard deviation derived from the normalized percent activation of the triplicate data for each compound,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [1].,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [2].,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [3].
RESULT_UNIT,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
617,14725257,9549534,Inactive,3,,,5.59,0.423144,6.1499,5.12631,5.49691
618,56319689,24980901,Inactive,3,,,5.54,4.38217,2.14173,2.7581,11.7306
619,14739281,1121320,Inactive,3,,,5.54,4.91304,11.8861,4.81942,-0.0833623
620,57256766,16279689,Inactive,3,,,5.47,3.82998,5.31908,10.2412,0.863567
621,49721356,20889279,Inactive,3,,,5.46,5.21591,11.9932,5.14553,-0.771825
622,124754527,53300527,Inactive,3,,,5.43,0.594481,4.66845,6.11822,5.51151
623,4242933,3237723,Inactive,3,,,5.42,1.02413,6.33023,3.98868,5.93898
624,74373654,56603528,Inactive,3,,,5.41,2.09643,3.78548,8.37247,4.07969
625,124755361,53301197,Inactive,3,,,5.41,4.98992,12.2308,0.434411,3.56119
626,24804006,54679450,Inactive,2,,,5.33,1.09249,3.78064,6.06571,6.12932
627,51086592,24892102,Inactive,2,,,5.32,0.695037,4.42021,5.4304,6.11209
628,89855065,44825554,Inactive,2,,,5.3,1.01434,4.07295,5.28114,6.55726
629,125306072,53383399,Inactive,2,,,5.26,0.973401,4.29839,4.88688,6.59365
630,57262346,4308443,Inactive,2,,,5.24,2.10617,8.00195,4.82428,2.89338
631,49680191,4843002,Inactive,2,,,5.23,1.51422,4.13122,7.36866,4.18244
632,7976019,2930827,Inactive,2,,,5.22,1.20439,3.6008,5.56415,6.48942
633,49676615,135561707,Inactive,2,,,5.15,0.384938,5.03443,4.74873,5.66977
634,121285144,10032587,Inactive,2,,,5.13,5.34483,0.437084,2.34868,12.6095
635,24797956,16189873,Inactive,2,,,5.09,6.36122,12.1612,-3.26008,6.382
636,49820850,24818169,Inactive,2,,,5.08,3.64495,3.95785,9.99792,1.28372
637,49816482,2185599,Inactive,2,,,5.06,1.36627,3.84241,4.36876,6.96781
638,24802283,764010,Inactive,2,,,4.94,1.47496,6.01598,2.85766,5.95623
639,24835609,2616328,Inactive,2,,,4.94,3.29847,0.945622,4.85252,9.02375
640,26729409,2808498,Inactive,2,,,4.93,1.71144,7.34257,3.54216,3.90994
641,859002,660305,Inactive,2,,,4.9,1.62272,4.44678,3.17666,7.07356
642,24837225,2455528,Inactive,2,,,4.9,3.34728,9.25365,4.31537,1.11623
643,14721758,9549399,Inactive,2,,,4.86,4.88881,2.22435,0.650903,11.7184
644,85303406,654873,Inactive,2,,,4.85,3.74516,10.1084,2.76962,1.6719
645,49735142,20904077,Inactive,2,,,4.84,2.83881,0.843469,7.18741,6.48132
646,99495744,56643201,Inactive,2,,,4.76,6.01034,7.12261,-3.49541,10.6455
647,17410068,2764134,Inactive,2,,,4.75,2.45692,3.48029,2.59132,8.19055
648,47200023,23724028,Inactive,2,,,4.75,1.11065,6.2277,3.55303,4.45959
649,47196521,2200364,Inactive,2,,,4.71,4.57898,2.71612,11.0471,0.377908
650,26730989,2736155,Inactive,2,,,4.71,1.33172,4.4329,6.45975,3.23283
651,49734072,135411910,Inactive,2,,,4.69,2.46051,3.42826,8.12779,2.5101
652,56314744,7834847,Inactive,2,,,4.66,5.32533,12.1737,1.32963,0.473031
653,843902,646211,Inactive,2,,,4.66,1.3457,3.00922,6.3055,4.658
654,17511257,7013345,Inactive,2,,,4.65,3.0314,8.87421,1.88887,3.2007
655,89854997,44825486,Inactive,2,,,4.65,4.02427,0.63317,3.17115,10.1511
656,24793662,2930673,Inactive,2,,,4.65,2.29314,5.87747,6.63764,1.43782
657,49668431,9623738,Inactive,2,,,4.6,4.6386,5.36147,-1.41863,9.86745
658,49819073,2948144,Inactive,2,,,4.59,3.56671,3.44775,0.907071,9.41655
659,26670336,2475450,Inactive,2,,,4.58,0.473092,4.46249,4.06927,5.20992
660,7969014,3896375,Inactive,2,,,4.58,6.7524,1.69046,13.9033,-1.86293
661,49642297,1164759,Inactive,2,,,4.57,2.3962,2.40409,3.40098,7.91179
662,49644686,135426036,Inactive,2,,,4.52,1.19994,6.13391,3.25589,4.17809
663,857734,659091,Inactive,2,,,4.48,1.47863,3.2337,6.55679,3.64769
664,14729130,9549987,Inactive,2,,,4.45,3.35344,6.88999,6.74856,-0.293394
665,4247608,3241797,Inactive,2,,,4.45,3.51514,2.17598,1.75072,9.41098
666,47193683,6421,Inactive,2,,,4.42,3.09705,6.25082,0.0536601,6.94157
667,24815166,2157780,Inactive,2,,,4.41,1.58363,3.7232,6.59527,2.90118
668,7964959,5307329,Inactive,2,,,4.4,2.659,6.96732,5.48668,0.7341
669,47201871,2934463,Inactive,2,,,4.34,1.96373,1.65682,5.06515,6.30047
670,47204732,135477410,Inactive,2,,,4.34,1.43193,5.68962,2.35795,4.97343
671,103076409,49791147,Inactive,2,,,4.32,0.549055,3.57082,4.86737,4.52862
672,17515256,2134165,Inactive,2,,,4.32,2.47981,7.82751,2.51712,2.6184
673,26668939,2952870,Inactive,2,,,4.32,2.15537,7.36672,2.84133,2.74906
674,14740209,2212606,Inactive,2,,,4.31,2.37575,1.47869,7.29227,4.16083
675,49727611,3215623,Inactive,2,,,4.31,0.449469,4.72741,3.68427,4.5108
676,859194,660499,Inactive,2,,,4.29,2.00904,3.81419,6.9575,2.10669
677,85302040,44263678,Inactive,2,,,4.28,2.97494,0.389299,4.85483,7.60909
678,24835675,16196752,Inactive,2,,,4.22,1.69581,6.30388,4.2148,2.15004
679,89852009,95221,Inactive,2,,,4.19,1.11194,4.57166,2.67339,5.31405
680,26728085,2805117,Inactive,2,,,4.16,2.23276,6.89488,4.14592,1.42578
681,57261493,4774002,Inactive,2,,,4.12,2.80609,2.09186,8.08854,2.18101
682,24813129,6012969,Inactive,2,,,4.11,2.48318,1.06923,4.09618,7.15174
683,99359413,46903976,Inactive,2,,,4.08,8.46576,-2.36691,16.0444,-1.42422
684,858551,659863,Inactive,2,,,4.03,1.59658,3.30487,6.24553,2.54246
685,49720339,24791074,Inactive,2,,,4.01,3.57601,7.38047,5.59088,-0.940176
686,85270896,2425562,Inactive,2,,,4.01,4.40162,0.861955,0.927119,10.2316
687,99456365,46943792,Inactive,2,,,4.01,2.55576,5.04412,0.488195,6.48451
688,49640933,893362,Inactive,2,,,3.98,2.80282,7.93167,2.23403,1.76563
689,57264144,8194582,Inactive,2,,,3.95,1.67397,1.94217,3.88178,6.04058
690,51089322,7386107,Inactive,2,,,3.94,1.85218,1.57155,6.0932,4.15435
691,4261281,701191,Inactive,2,,,3.94,2.02041,2.98704,6.74887,2.08303
692,17414947,2950356,Inactive,2,,,3.93,0.92064,2.90515,3.74789,5.138
693,121284969,51360330,Inactive,2,,,3.92,2.62539,0.361637,4.76905,6.62096
694,24781750,1506394,Inactive,2,,,3.87,2.03603,6.45738,3.67345,1.48188
695,842481,644745,Inactive,2,,,3.85,2.85371,7.80567,2.57171,1.17612
696,4248462,3242531,Inactive,2,,,3.85,2.50998,0.335142,5.14398,6.05713
697,24793518,898290,Inactive,2,,,3.82,0.995235,3.35558,2.90353,5.20416
698,51088675,3242183,Inactive,2,,,3.8,3.56436,0.0752457,8.60536,2.72822
699,46500391,1340,Inactive,2,,,3.77,2.1294,4.98055,5.55062,0.775512
700,56422875,5909,Inactive,2,,,3.75,3.2238,7.82796,-0.0548186,3.48101
701,3716467,6602904,Inactive,2,,,3.75,0.892969,2.66439,3.73456,4.85154
702,50085467,2842572,Inactive,2,,,3.74,4.21802,9.68921,0.423923,1.09697
703,17514868,2157881,Inactive,2,,,3.73,3.64748,8.65571,2.60243,-0.0618772
704,99495091,46948405,Inactive,2,,,3.73,0.637012,2.85256,4.34861,3.98452
705,14731446,1376492,Inactive,2,,,3.71,1.02821,4.50795,2.26265,4.37345
706,853296,655948,Inactive,2,,,3.69,0.815542,4.63027,2.64231,3.80655
707,49671819,5713277,Inactive,2,,,3.68,1.04975,2.38892,4.96006,3.70339
708,7972435,1371284,Inactive,2,,,3.68,1.75002,2.66229,2.2349,6.14245
709,26725037,11948999,Inactive,2,,,3.66,3.61435,0.454148,1.80753,8.70793
710,99358374,46903287,Inactive,1,,,3.58,0.931344,4.89176,3.01932,2.82692
711,50086574,5702093,Inactive,1,,,3.58,4.5077,5.69745,7.7258,-2.68793
712,24821685,6166204,Inactive,1,,,3.56,0.255282,3.65944,3.21594,3.81945
713,56463152,24109,Inactive,1,,,3.56,2.57999,1.08814,2.46456,7.11795
714,14725351,2927271,Inactive,1,,,3.52,2.44794,2.94551,0.844093,6.75832
715,121285816,51361138,Inactive,1,,,3.51,1.22587,5.18284,3.065,2.28042
716,24807050,2831534,Inactive,1,,,3.5,0.710096,4.42324,3.39433,2.69426
717,17512197,1387556,Inactive,1,,,3.5,1.12986,2.51307,2.91358,5.08488
718,124754451,53300451,Inactive,1,,,3.49,2.16911,6.03949,3.68765,0.737506
719,26665025,386770,Inactive,1,,,3.48,3.91096,0.561726,9.00623,0.866331
720,57268466,2595959,Inactive,1,,,3.47,3.61523,4.4051,7.36167,-1.34561
721,26730307,2806956,Inactive,1,,,3.47,1.57029,5.67671,2.59985,2.1393
722,24836542,5183519,Inactive,1,,,3.46,1.94135,3.32461,5.89703,1.14719
723,4250440,3130975,Inactive,1,,,3.42,1.06881,2.56116,2.77237,4.92666
724,89852469,3508546,Inactive,1,,,3.41,1.32505,2.6096,2.34987,5.28157
725,4247799,3241963,Inactive,1,,,3.41,0.526665,2.67076,3.87873,3.66692
726,47199769,6460908,Inactive,1,,,3.36,0.448647,2.73799,3.7837,3.55352
727,49816203,6465494,Inactive,1,,,3.34,3.31192,0.276307,7.93737,1.79586
728,124754530,53300530,Inactive,1,,,3.32,3.53672,-1.23776,3.8257,7.38156
729,14725200,800685,Inactive,1,,,3.27,2.74058,3.96824,6.22786,-0.376355
730,857885,659229,Inactive,1,,,3.26,0.809664,4.31454,3.11079,2.34766
731,24822627,3216995,Inactive,1,,,3.25,1.96356,2.20143,6.00166,1.54836
732,4265638,2841922,Inactive,1,,,3.24,2.58316,0.230488,2.96305,6.53913
733,85272565,4650,Inactive,1,,,3.24,2.4495,1.15109,6.67752,1.89094
734,7976595,3149824,Inactive,1,,,3.23,0.457785,3.81318,2.69469,3.18474
735,7968095,5309217,Inactive,1,,,3.21,1.3974,3.16792,1.52499,4.94701
736,49733041,6494541,Inactive,1,,,3.18,1.08553,2.58731,4.70233,2.24922
737,7971797,4592264,Inactive,1,,,3.18,0.719293,2.21777,3.94826,3.36985
738,4264958,2957113,Inactive,1,,,3.16,4.29926,5.43676,6.90953,-2.85733
739,85270694,4784070,Inactive,1,,,3.16,2.03751,0.823648,2.87365,5.78942
740,24828632,3398336,Inactive,1,,,3.13,1.10454,3.44571,4.29351,1.64453
741,49723969,20909067,Inactive,1,,,3.13,1.28964,4.44952,1.37774,3.55187
742,17515824,12006167,Inactive,1,,,3.11,0.477792,3.5522,3.33,2.44598
743,49732048,24792938,Inactive,1,,,3.09,0.582109,3.5593,2.27223,3.44721
744,99456558,46943929,Inactive,1,,,3.08,1.94166,0.674248,3.14659,5.42906
745,24796409,2982208,Inactive,1,,,3.08,1.87981,2.3766,1.21002,5.6509
746,49720205,24790993,Inactive,1,,,3.07,1.47898,4.99741,1.40016,2.82727
747,57259805,16306881,Inactive,1,,,3.07,0.25443,3.1603,2.72584,3.33004
748,49713854,24789281,Inactive,1,,,3.04,1.53509,5.13205,2.47777,1.49834
749,26661629,6884762,Inactive,1,,,3.03,2.37032,4.4275,-0.311238,4.96348
750,93576599,45479728,Inactive,1,,,3.03,1.97667,1.85819,1.41103,5.80984
751,22401121,4370704,Inactive,1,,,3.02,2.61251,6.34553,-0.0379199,2.76368
752,49641107,714052,Inactive,1,,,3,0.878706,4.00385,1.86476,3.14109
753,24793607,2207993,Inactive,1,,,2.99,3.67189,0.342018,0.452905,8.18612
754,56463290,4552,Inactive,1,,,2.97,2.71451,-0.0924975,6.50713,2.50575
755,7968634,778366,Inactive,1,,,2.97,2.38224,-0.191934,3.53684,5.55962
756,49730342,6497627,Inactive,1,,,2.96,1.20241,4.63958,1.8939,2.34369
757,49726461,3185580,Inactive,1,,,2.95,1.38069,3.32234,4.42433,1.10429
758,7970271,5310172,Inactive,1,,,2.94,1.23078,1.44507,4.4597,2.92535
759,3717567,2541165,Inactive,1,,,2.93,2.80446,2.50696,-0.267759,6.56186
760,103159223,49792467,Inactive,1,,,2.93,1.61989,4.81669,0.860797,3.10598
761,85146538,44142397,Inactive,1,,,2.91,3.78176,8.23799,0.625596,-0.139436
762,47203671,1075101,Inactive,1,,,2.89,4.56214,0.586709,-1.17233,9.26431
763,89850324,224468,Inactive,1,,,2.89,3.70066,-0.824409,7.93764,1.54495
764,14743218,2012530,Inactive,1,,,2.88,1.21005,2.14483,1.91083,4.58673
765,17432287,1297780,Inactive,1,,,2.85,1.31305,4.47974,2.8186,1.26402
766,842198,644453,Inactive,1,,,2.83,8.99367,15.4346,-4.9691,-1.96134
767,7970118,5122224,Inactive,1,,,2.83,4.27704,7.4671,-2.85385,3.86469
768,24820867,16195173,Inactive,1,,,2.82,2.98778,7.0457,0.639892,0.777662
769,24819257,2766666,Inactive,1,,,2.8,1.88448,0.237069,3.45212,4.71309
770,858963,660266,Inactive,1,,,2.78,2.17329,5.07259,-0.138655,3.40858
771,3712796,2097372,Inactive,1,,,2.77,5.29204,9.98194,-2.56713,0.893791
772,17431591,817558,Inactive,1,,,2.77,2.06257,1.82678,0.84837,5.63011
773,7967235,5308700,Inactive,1,,,2.77,3.5617,-0.610865,7.69059,1.21607
774,17432474,1833763,Inactive,1,,,2.72,1.18155,2.21338,1.59499,4.35275
775,14723401,2959217,Inactive,1,,,2.72,1.63169,0.537118,3.15796,4.46082
776,103050381,49778247,Inactive,1,,,2.72,1.51436,3.78674,0.574877,3.7879
777,47204497,1094686,Inactive,1,,,2.7,1.90905,1.48795,1.20996,5.3915
778,103050949,9592147,Inactive,1,,,2.68,2.27957,-0.538732,4.42836,4.15389
779,56317473,9314525,Inactive,1,,,2.66,1.52427,4.77871,1.96619,1.24581
780,24794873,2965223,Inactive,1,,,2.65,2.50457,-0.181249,5.90965,2.22887
781,7965063,940979,Inactive,1,,,2.65,0.559513,2.25648,3.44352,2.25674
782,24836816,135520015,Inactive,1,,,2.64,0.866334,3.36379,3.13944,1.42414
783,14744453,2303737,Inactive,1,,,2.62,1.99067,4.97626,0.108151,2.78424
784,49672565,4962047,Inactive,1,,,2.61,2.54432,-0.990311,4.34078,4.47086
785,56317536,24979890,Inactive,1,,,2.6,1.03916,2.492,3.9257,1.38739
786,24806835,135455168,Inactive,1,,,2.58,0.961778,1.36345,2.66527,3.71481
787,24781984,16187700,Inactive,1,,,2.58,4.82765,8.91604,1.60214,-2.78814
788,24792654,897223,Inactive,1,,,2.58,1.65719,3.35505,0.271135,4.099
789,103159057,49792352,Inactive,1,,,2.56,1.43937,2.47229,4.36507,0.842608
790,7968792,5309606,Inactive,1,,,2.52,1.32876,2.60408,0.857883,4.10969
791,57262875,2566492,Inactive,1,,,2.51,3.33137,7.10981,-0.681837,1.11427
792,24825614,2330835,Inactive,1,,,2.51,3.24575,7.07576,-0.160877,0.606067
793,51089052,5139424,Inactive,1,,,2.5,0.702374,1.785,3.45183,2.24933
794,4244167,1267856,Inactive,1,,,2.45,0.952225,3.78991,1.84697,1.70083
795,99456422,4824820,Inactive,1,,,2.45,4.28229,1.53935,-2.28731,8.08406
796,57262812,4802033,Inactive,1,,,2.43,1.10294,3.68965,1.00466,2.6066
797,24809102,16192947,Inactive,1,,,2.43,3.45286,-2.06873,6.32471,3.02945
798,49648430,7708518,Inactive,1,,,2.41,4.00918,7.98826,0.473775,-1.24442
799,24836937,3646998,Inactive,1,,,2.4,3.76418,-1.49261,1.21148,7.49336
800,74374002,42601296,Inactive,1,,,2.4,0.47118,3.04757,2.19083,1.94947
801,24815307,5186809,Inactive,1,,,2.38,2.22323,0.298547,5.46264,1.38343
802,24815501,16194627,Inactive,1,,,2.38,0.175559,2.62063,2.30464,2.21004
803,57269006,25163829,Inactive,1,,,2.36,3.08029,0.0253518,0.345549,6.71384
804,24820736,2763377,Inactive,1,,,2.35,3.72881,-2.92138,5.00228,4.97492
805,856720,658080,Inactive,1,,,2.35,1.15214,3.856,2.12609,1.05998
806,57256185,4789793,Inactive,1,,,2.31,0.505082,2.52443,2.79424,1.61368
807,49723978,20909134,Inactive,1,,,2.3,1.46294,4.3395,1.61086,0.963512
808,85269060,2386040,Inactive,1,,,2.3,3.11803,-1.2613,1.81719,6.33118
809,22408393,6899633,Inactive,1,,,2.3,1.67067,4.14385,2.64528,0.0967202
810,51086547,7260603,Inactive,1,,,2.28,1.59237,0.907789,1.41374,4.51015
811,51090036,8414192,Inactive,1,,,2.25,5.09063,9.36405,-0.326807,-2.27702
812,17401195,4013385,Inactive,1,,,2.24,2.2356,-0.602466,2.45804,4.86041
813,49828473,7809225,Inactive,1,,,2.23,2.93464,-1.71731,3.10682,5.30999
814,49733533,3188776,Inactive,1,,,2.21,2.09973,-0.45458,2.40496,4.67752
815,7969472,2160380,Inactive,1,,,2.21,3.16829,-0.290877,6.67756,0.234978
816,24790260,825717,Inactive,1,,,2.2,1.72045,2.1113,4.34836,0.13685
817,26669958,2578297,Inactive,1,,,2.19,1.21432,2.01241,0.796397,3.75526
818,56320899,15284,Inactive,1,,,2.19,2.2671,-0.951319,4.32409,3.18851
819,49718336,24790115,Inactive,1,,,2.16,1.89423,1.46412,0.270596,4.75042
820,49718821,24790433,Inactive,1,,,2.16,2.82522,-0.303422,6.11359,0.661236
821,85268010,3297954,Inactive,1,,,2.16,4.38549,7.20577,2.75178,-3.48692
822,14729960,2767952,Inactive,1,,,2.15,0.625665,2.94404,2.07981,1.41585
823,57256074,2537162,Inactive,1,,,2.13,2.29903,2.16148,-0.694334,4.93693
824,14737325,9551001,Inactive,1,,,2.13,3.27355,-0.0227919,6.75816,-0.338593
825,85147369,2814135,Inactive,1,,,2.13,2.13071,5.09949,0.211169,1.07171
826,99494759,46948179,Inactive,1,,,2.11,0.763721,2.97613,1.1192,2.24405
827,4251260,3244971,Inactive,1,,,2.11,1.7532,2.85197,3.7851,-0.311706
828,49680318,8853376,Inactive,1,,,2.1,3.77302,2.10342,-2.51753,6.72445
829,49718326,24790105,Inactive,1,,,2.1,2.30672,1.03685,5.3024,-0.0394362
830,92764451,5470811,Inactive,1,,,2.09,1.11135,0.905869,3.57721,1.78775
831,89855547,276563,Inactive,1,,,2.07,0.626446,2.76464,2.19643,1.24611
832,26661292,2308204,Inactive,1,,,2.06,1.60765,-0.208963,3.30657,3.08543
833,125306046,53383373,Inactive,1,,,2.06,1.68236,0.0617383,1.94257,4.17758
834,49679955,9360823,Inactive,1,,,2.05,2.44684,1.16139,-0.405347,5.38808
835,47203114,673510,Inactive,1,,,2.04,3.62972,6.92906,0.955095,-1.76061
836,14734052,1994309,Inactive,1,,,2.04,0.986725,1.96805,3.28293,0.869174
837,24794851,2712518,Inactive,1,,,2.03,3.49913,-0.558802,6.98124,-0.318444
838,24804507,54693587,Inactive,1,,,2.02,1.43222,3.91278,1.68244,0.452438
839,49714224,16798743,Inactive,1,,,1.99,2.70335,3.1752,4.53741,-1.75571
840,49668485,17366421,Inactive,1,,,1.98,1.4219,-0.0224032,3.11462,2.85659
841,22404217,2080519,Inactive,1,,,1.97,1.07884,1.35469,3.48728,1.06945
842,103074989,3220808,Inactive,1,,,1.96,4.46495,-4.34339,5.44089,4.78097
843,24797857,16189807,Inactive,1,,,1.96,3.86962,-0.728797,-0.826293,7.43073
844,863014,664251,Inactive,1,,,1.96,5.36512,-1.84223,9.54373,-1.83257
845,56463754,25102751,Inactive,1,,,1.95,1.78946,4.37247,1.39368,0.0983159
846,17411165,3787717,Inactive,1,,,1.94,2.28114,5.13625,0.752577,-0.0562159
847,49679841,5323472,Inactive,1,,,1.93,3.774,-0.707366,-0.762804,7.27064
848,26665546,700961,Inactive,1,,,1.89,3.61914,-1.30831,6.9507,0.0313221
849,14737636,9551104,Inactive,1,,,1.87,2.78907,-1.76065,2.36052,5.01873
850,7964884,936609,Inactive,1,,,1.86,5.95874,9.85452,-4.44876,0.184577
851,14737679,135476879,Inactive,1,,,1.85,1.61571,1.41491,4.00538,0.118916
852,49828966,8069901,Inactive,1,,,1.84,3.78614,-0.919584,-0.746939,7.19696
853,17514656,7095925,Inactive,1,,,1.83,1.30896,1.3958,3.61039,0.495146
854,121284477,51359939,Inactive,1,,,1.83,1.03851,1.50201,0.759736,3.23802
855,85198623,2441086,Inactive,1,,,1.82,3.14889,0.165918,-0.935564,6.22651
856,14733347,3162456,Inactive,1,,,1.81,4.79856,-0.821236,-2.292,8.54266
857,56463487,6603782,Inactive,1,,,1.8,3.54666,6.81747,-0.643373,-0.767375
858,7970997,5310361,Inactive,1,,,1.8,2.71001,4.51498,2.78075,-1.90127
859,103163541,49795799,Inactive,0,,,1.79,1.32558,0.0717192,1.98293,3.30057
860,49643610,23827542,Inactive,0,,,1.77,1.53875,3.00974,2.70838,-0.394669
861,49720071,22578826,Inactive,0,,,1.77,1.31672,3.00768,-0.0517561,2.36211
862,24821112,16195196,Inactive,0,,,1.75,2.08397,4.56648,1.07636,-0.404638
863,92763904,265171,Inactive,0,,,1.74,2.93691,5.50088,-1.66773,1.39417
864,24781123,13575819,Inactive,0,,,1.73,2.01902,0.480993,4.57957,0.133346
865,49732432,24793139,Inactive,0,,,1.73,0.302631,1.39383,1.67129,2.12787
866,17413744,135479674,Inactive,0,,,1.73,1.6631,3.11987,2.67637,-0.608879
867,46500427,155107,Inactive,0,,,1.73,3.74296,-0.358743,6.98195,-1.44543
868,4258814,725089,Inactive,0,,,1.72,2.61502,4.78873,1.96046,-1.60266
869,17402276,5101807,Inactive,0,,,1.71,1.66275,4.05169,0.756039,0.331352
870,26661989,5872316,Inactive,0,,,1.71,0.588045,0.898424,1.93376,2.28336
871,103074678,49789986,Inactive,0,,,1.69,2.35433,3.55199,3.15472,-1.62908
872,51090573,7260677,Inactive,0,,,1.68,1.67257,-0.191927,1.36673,3.86867
873,24797686,767348,Inactive,0,,,1.68,0.510145,2.36665,1.50816,1.15104
874,26732689,16746635,Inactive,0,,,1.67,2.45874,2.20023,4.38285,-1.56967
875,125306078,53383405,Inactive,0,,,1.64,2.27599,1.32788,4.57495,-0.973258
876,103163045,2167119,Inactive,0,,,1.61,3.20586,5.48422,-2.36633,1.71904
877,56317038,18286992,Inactive,0,,,1.59,1.69122,3.04268,2.51184,-0.780781
878,49675587,2320108,Inactive,0,,,1.58,1.36393,1.39105,0.0178607,3.3421
879,14726228,3157056,Inactive,0,,,1.58,1.92311,4.02201,-0.6777,1.39448
880,49826250,24819269,Inactive,0,,,1.57,2.57145,-2.05404,3.6062,3.16917
881,85274017,44247025,Inactive,0,,,1.55,2.01598,2.55932,-1.26699,3.34956
882,99454843,23602095,Inactive,0,,,1.55,2.58414,-0.243738,5.19955,-0.319932
883,862386,663611,Inactive,0,,,1.53,1.30856,3.19358,1.40066,-0.00386833
884,49669826,20937306,Inactive,0,,,1.5,2.34634,3.98131,-1.64687,2.17546
885,121283208,51359236,Inactive,0,,,1.49,2.98888,5.71638,-0.72497,-0.517939
886,14723156,3153598,Inactive,0,,,1.48,1.42509,3.44648,0.872933,0.11725
887,49731926,24792905,Inactive,0,,,1.47,1.54834,0.387835,0.361832,3.65927
888,47198448,1337224,Inactive,0,,,1.46,3.1928,4.48621,2.84339,-2.95703
889,24837266,4274641,Inactive,0,,,1.45,1.1487,2.70907,1.70629,-0.0690707
890,57266711,4842305,Inactive,0,,,1.45,0.258331,1.52273,1.10182,1.72146
891,17415978,2267686,Inactive,0,,,1.44,2.1031,-1.14551,4.00591,1.45904
892,22413386,15945694,Inactive,0,,,1.44,2.64417,-0.344621,5.17732,-0.515129
893,17408945,56642957,Inactive,0,,,1.44,2.19998,3.7636,-1.51478,2.06445
894,89855127,44825616,Inactive,0,,,1.43,2.0376,-1.45542,2.91305,2.81939
895,47201968,5736625,Inactive,0,,,1.42,1.7185,1.83479,-0.863273,3.28396
896,49734250,16242656,Inactive,0,,,1.41,1.14323,0.0488808,1.33993,2.84645
897,26727668,2728525,Inactive,0,,,1.39,1.32537,2.98759,-0.257941,1.43291
898,47197686,23723777,Inactive,0,,,1.37,3.32933,6.08129,-0.891121,-1.06812
899,24803949,16192645,Inactive,0,,,1.37,3.107,-0.658754,-0.990754,5.75991
900,22411315,3308565,Inactive,0,,,1.36,1.46441,2.96101,1.70981,-0.575976
901,24836987,2394132,Inactive,0,,,1.33,2.17027,-0.952919,0.693909,4.24786
902,17512040,6226250,Inactive,0,,,1.32,3.82919,-4.00846,4.80973,3.16861
903,24835098,2475171,Inactive,0,,,1.32,0.277304,1.67561,1.28456,0.999093
904,7966190,5308070,Inactive,0,,,1.31,1.52861,2.98612,1.65212,-0.710779
905,49715810,15994725,Inactive,0,,,1.3,2.64324,-0.520015,5.03709,-0.618823
906,24821629,4436165,Inactive,0,,,1.29,1.05816,2.11943,-0.207802,1.94407
907,49824265,4158496,Inactive,0,,,1.26,5.21401,8.56072,-1.48907,-3.2897
908,24821730,3756205,Inactive,0,,,1.25,0.76125,0.278458,2.13638,1.34474
909,57259196,16306576,Inactive,0,,,1.25,0.877342,0.435156,2.46734,0.845898
910,14739284,1121362,Inactive,0,,,1.23,1.11077,0.211541,2.77508,0.703767
911,85269150,3919119,Inactive,0,,,1.23,3.41533,5.65588,0.687059,-2.6572
912,49825996,18592098,Inactive,0,,,1.21,1.81866,1.46175,-1.13259,3.30081
913,49824797,8057238,Inactive,0,,,1.2,2.44107,-2.24447,2.80576,3.05304
914,14740466,756692,Inactive,0,,,1.2,1.05322,2.52801,1.12936,-0.0486891
915,7969007,5309719,Inactive,0,,,1.19,1.19413,-0.327215,2.59051,1.31032
916,49818140,24817214,Inactive,0,,,1.18,0.929408,-0.137681,1.80136,1.86489
917,92763395,3826744,Inactive,0,,,1.16,1.94131,2.90381,2.1183,-1.55051
918,99495288,46948531,Inactive,0,,,1.15,2.59558,-2.41369,2.18033,3.6896
919,57267745,4848519,Inactive,0,,,1.14,1.16113,-0.109053,2.68952,0.850978
920,56314713,24978627,Inactive,0,,,1.14,3.50397,0.256697,5.80558,-2.63963
921,26663254,948138,Inactive,0,,,1.14,3.84277,-2.34749,-0.723833,6.4939
922,121285301,51360637,Inactive,0,,,1.13,1.65321,2.4259,-1.2058,2.1615
923,7976355,5310824,Inactive,0,,,1.13,1.69472,0.462991,-0.537756,3.45163
924,99358695,308157,Inactive,0,,,1.12,1.25843,0.343565,0.12863,2.89912
925,17403124,1915584,Inactive,0,,,1.12,0.636395,2.01154,0.56536,0.784545
926,56324189,24686280,Inactive,0,,,1.12,3.05505,-3.20502,3.24579,3.30523
927,49720380,24791115,Inactive,0,,,1.11,1.88317,-0.157006,3.77252,-0.284528
928,24797598,2211815,Inactive,0,,,1.11,3.35721,5.68848,-0.0933157,-2.26671
