SMILES,PUBCHEM_ACTIVITY_OUTCOME
CC1CCN(CC1)S(=O)(=O)C2=CC=CC(=C2)C(=O)NC3=NN=CS3,0
CCN(CC)CC(=O)NC1=CC2=C(CCC3=CC=CC=C3N2)C=C1.Cl,0
CC1=CC=C(C=C1)CSC2=NN(C=N2)C3=CC=CC=C3,0
CCOC(=O)C1(CCN(CC1)CC2=NC(=CS2)C(C)C)CC3CCCCO3,0
CC1(C(=[N+](C\2(N1O)CCCCC/C2=N\O)[O-])C3=CC=CS3)C,0
C1CN(CCC1C(=O)NC(C2=NC3=CC=CC=C3C=C2)C4=CC=CS4)CC5=CC(=CC=C5)C(F)(F)F,0
C1CCN(C1)C(=S)C2=CN(C3=CC=CC=C32)CCOC4=CC=CC=C4,0
CC1=CC(=C(C=C1)C2=NC3=CC=CC=C3N=C(C2)C4=CC=C(C=C4)[N+](=O)[O-])O,0
COC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C=C2)O)SC3=NC4=CC=CC=C4S3,0
CNCC1=CC=CC=C1OCC(=O)NC2=CC=CC=C2OC,0
C1CCCN(CC1)C2=C(C(=O)N(C2=O)C3=CC=CC=C3Cl)Cl,0
CC1=C2C(=NN=C(C2=C(N1C(C3=CC=CC=C3)C4=CC=CC=C4)C)C)C,0
CC1C2=CC(=CC3=C2N(C1=O)CCC3)NC(=O)C(=O)NCC4=CN=CC=C4,0
CC1=CC(=C(C=C1)C)C(=O)NC(C)CCC2=CC=CC=C2,0
CSC1=NN2C(=CC=NC2=N1)C3=CC4=C(C=C3)OCO4,0
C1=CC(=CC(=C1)C(=O)NCCO)C2=CN=C3N2C=CN=C3NC4=CC(=CC=C4)OC(C(F)F)(F)F,0
CCOC(=O)C1=C(C(=C2N1CCCCC2)C#N)N,0
C/C/1=C\CCC2C(/C=C(/CC1)\C)OC(=O)C2CN3CCCCC3,0
C1CC2=C(C1)C=C(C=C2)C(=O)N3CCN(CC3)CC4=C(C=CC=C4Cl)F,0
C1CN(CCC1N2CC(=O)N3[C@H](C2=O)CC4=C(C3C5=CC=CC=C5)NC6=CC=CC=C46)CC7=CC=CC=C7,0
CC1=CC(=CC=C1)N(CC2=CC=CC=C2)C(=O)C3=CC=C(C=C3)CS(=O)(=O)C,0
C1=CC=C(C=C1)C(CC(=O)C2=CC=CC=C2)C3C(=O)NC(=O)NC3=O,0
CCOCCNC(=O)C1=CC=CC=C1C(=O)NCCOCC,0
C1=CSC(=C1)C(=O)NC2=CC=C(C=C2)NC(=O)C3=CC=C(O3)Br,0
COC(=O)C1=CC(=C(C=C1)C(=O)OC)NC(=O)COC(=O)C2CCCCC2,0
C1=CC(=CC(=C1)C(F)(F)F)C(=O)NC2=CC=CN3C2=NC=N3,0
CC1=CSC(=N1)NC(=O)C2CCCCC2,0
