SMILES,PUBCHEM_ACTIVITY_OUTCOME
COC1=C(C(=CC=C1)OC)OCCN2CCN(CC2)C(=O)C3=CC=CO3.Cl,1
COC1=C(C(=C(C=C1)CN2CCN(CC2)C(=O)C3=CC=CO3)OC)OC,1
CC1CC(CN(C1)CCOC2=C(C(=CC=C2)Cl)Cl)C.C(=O)(C(=O)O)O,1
CCN1C2=CC=CC=C2C(=CC1=O)SCC(=O)NCCCN3CCN(CC3)C4=CC=CC=C4F,1
C1CC2=CC=CC=C2N(C1)C3=NC(=NC(=N3)N)CN4CCN(CC4)C5=CC(=CC=C5)Cl,1
C1CN(CCN1CC2=CC=CC=C2F)C(=O)C3=CC=CO3.C(=O)(C(=O)O)O,1
C1CN(CCN1CC2CC3CC2C=C3)C(=O)C4=CC=CO4.C(=O)(C(=O)O)O,1
CC1(C(C1C(=O)N2CCN(CC2)CC3=CC=CC=C3)C=C(Cl)Cl)C,1
CC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)NC(=O)CNCC3=CN=CC=C3.C(=O)(C(=O)O)O,1
COC(=O)C1CCN(CC1)CCCOC2=CC=C(C=C2)CN3CCN(CC3)C4=CC=C(C=C4)[N+](=O)[O-],1
C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC=NC5=C4NC=N5,1
COC1=C(C=C(C=C1)CN2CCN(CC2)C(=O)C3=CC=CO3)OCC4=CC=CC=C4,1
C1CN(CCN1CC2=CC=C(C=C2)F)C(=O)C3=CC=CO3.C(=O)(C(=O)O)O,1
C1CCCC(CC1)CN2[C@H](CN(C(=O)C2=O)[C@@H](CC3=CC=C(C=C3)O)CN4CCC[C@@H]4CN5[C@H](CNC(=O)C5=O)CC6=CC=CC=C6)CC7=CC=C(C=C7)O,1
C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC=NC5=C4C=C(C=C5)[N+](=O)[O-].Cl,1
